Run,ENA-BASE-COUNT,ENA-CHECKLIST,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,ENA-SPOT-COUNT,PANGAEA Event label,PANGAEA Sample label,Read depth,Sample,collection date,collection_date,environment (biome),environment (feature),environment (material),environmental package,geographic location,geographic location (country and/or sea),geographic location (depth),geographic location (elevation),geographic location (latitude),geographic location (longitude),host-associated environmental package,investigation type,project name,sediment environmental package,sequencing method,submitted to insdc,total depth of water column,water environmental package
ERR2172148,221436168,ERC000024,2018-06-11,2018-04-13,368431,PS80/224-1,PS80/224_HP-1_MP,,ERS1972766,2012-08-09,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172149,117435600,ERC000024,2018-06-11,2018-04-13,195726,PS80/323-1,PS80/323_CTD-2,,ERS1972775,2012-09-04,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],"marine wind mixed layer [ENVO:01000061]|marine photic zone [ENVO:00000209]|water
                    surface[ENVO:01001191]",sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,1,,81.9255,131.12867,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172150,92186400,ERC000024,2018-06-11,2018-04-13,153644,PS80/350-2,,4384.0,ERS1972784,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4384,,87.932,61.04287,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4384,water
ERR2172151,97455658,ERC000011,2018-06-11,2018-04-13,162378,PS80/359-1,,4380.0,ERS1972785,,2012-09-19,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],holothurian digestive tract contents [ENVO:01001188],host-associated,Central Arctic Ocean/Eurasian basin,Arctic Ocean,,,87.89217,59.38867,host-associated,mimarks-survey,ABYSS,,Illumina MiSeq,true,4380,
ERR2172152,119160740,ERC000024,2018-06-11,2018-04-13,198571,PS80/361-1,,4373.0,ERS1972786,2012-09-22,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4373,,88.82675,58.62752,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4373,water
ERR2172153,197771400,ERC000024,2018-06-11,2018-04-13,329619,PS80/350-2,,4384.0,ERS1972792,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4384,,87.932,61.04287,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4384,water
ERR2172154,111313800,ERC000024,2018-06-11,2018-04-13,185523,PS80/349-1,PS80/349_ICES-3,,ERS1972791,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172155,76504200,ERC000024,2018-06-11,2018-04-13,127507,PS80/355-1,,4381.0,ERS1972793,2012-09-19,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4381,,87.92683,61.01217,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4381,water
ERR2172156,116841000,ERC000024,2018-06-11,2018-04-13,194735,PS80/384-1,PS80/384_CORE-BAT-1,,ERS1972798,2012-09-28,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.37483,17.45367,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172157,200467800,ERC000024,2018-06-11,2018-04-13,334113,PS80/224-1,PS80/224_CORE-BAT-1,,ERS1972747,2012-08-09,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172158,229399200,ERC000024,2018-06-11,2018-04-13,382332,PS80/237-1,PS80/237_CORE-BAT-1,,ERS1972751,2012-08-14,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,83.9865,78.10333,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172159,185417400,ERC000024,2018-06-11,2018-04-13,309029,PS80/335-1,PS80/335_CORE-BAT-1,,ERS1972755,2012-09-07,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,85.10183,122.24533,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172160,221436168,ERC000024,2018-06-11,2018-04-13,368431,PS80/224-1,PS80/224_HP-1_MP,,ERS1972766,2012-08-09,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172161,117435600,ERC000024,2018-06-11,2018-04-13,195726,PS80/323-1,PS80/323_CTD-2,,ERS1972775,2012-09-04,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],"marine wind mixed layer [ENVO:01000061]|marine photic zone [ENVO:00000209]|water
                    surface[ENVO:01001191]",sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,1,,81.9255,131.12867,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172162,29718000,ERC000024,2018-06-11,2018-04-13,49530,PS80/350-2,,4384.0,ERS1972832,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4384,,87.932,61.04287,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4384,water
ERR2172163,173226600,ERC000021,2018-06-11,2018-04-13,288711,PS80/277-2,,4165.0,ERS1972738,2012-08-25,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,82.87967,130.062,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4165,
ERR2172164,154702200,ERC000021,2018-06-11,2018-04-13,257837,PS80/330-1,,4016.0,ERS1972739,2012-09-05,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,81.8763,130.8588,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4016,
ERR2172165,73936800,ERC000021,2018-06-11,2018-04-13,123228,PS80/338-1,,4300.0,ERS1972740,2012-09-07,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,85.09393,122.33665,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4300,
ERR2172166,38193000,ERC000021,2018-06-11,2018-04-13,63655,PS80/350-1,,4380.0,ERS1972741,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,87.93338,61.16958,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4380,
ERR2172167,62497800,ERC000021,2018-06-11,2018-04-13,104163,PS80/361-1,,4373.0,ERS1972742,2012-09-22,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,88.82675,58.62752,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4373,
ERR2172168,244519800,ERC000021,2018-06-11,2018-04-13,407533,PS80/394-1,,4023.0,ERS1972743,2012-09-29,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,84.35012,17.73532,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4023.2,
ERR2172169,146990400,ERC000024,2018-06-11,2018-04-13,244984,PS80/349-1,PS80/349_ICES-4,,ERS1972744,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],sea ice floe [ENVO:03000066],brownish colored sea ice [ENVO:01001190],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172170,435210000,ERC000024,2018-06-11,2018-04-13,725350,PS80/360-1,PS80/360_ICES-1,,ERS1972745,2012-09-22,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],sea ice floe [ENVO:03000066],brownish colored sea ice [ENVO:01001190],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,88.82767,58.8635,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172171,163276200,ERC000024,2018-06-11,2018-04-13,272127,PS80/384-1,PS80/384_CORE-BAT-1,,ERS1972746,2012-09-28,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.37483,17.45367,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172172,200467800,ERC000024,2018-06-11,2018-04-13,334113,PS80/224-1,PS80/224_CORE-BAT-1,,ERS1972747,2012-08-09,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172173,746178376,ERC000024,2018-06-11,2018-04-13,1242608,PS80/350-2,,4384.0,ERS1972748,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4384,,87.932,61.04287,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4384,water
ERR2172174,86038200,ERC000024,2018-06-11,2018-04-13,143397,PS80/350-2,,4384.0,ERS1972749,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4384,,87.932,61.04287,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4384,water
ERR2172175,215350200,ERC000024,2018-06-11,2018-04-13,358917,PS80/350-2,,4384.0,ERS1972750,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4384,,87.932,61.04287,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4384,water
ERR2172176,229399200,ERC000024,2018-06-11,2018-04-13,382332,PS80/237-1,PS80/237_CORE-BAT-1,,ERS1972751,2012-08-14,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,83.9865,78.10333,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172177,175331400,ERC000024,2018-06-11,2018-04-13,292219,PS80/277-1,PS80/277_CORE-BAT-1,,ERS1972752,2012-08-25,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,82.8825,130.1295,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172178,207582000,ERC000024,2018-06-11,2018-04-13,345970,PS80/323-1,PS80/323_CORE-BAT-1,,ERS1972753,2012-09-04,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,81.9255,131.12867,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172179,264555986,ERC000021,2018-06-11,2018-04-13,440575,PS80/225-1,,4019.0,ERS1972754,2012-08-09,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,84.04732,31.19263,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4019,
ERR2172180,185417400,ERC000024,2018-06-11,2018-04-13,309029,PS80/335-1,PS80/335_CORE-BAT-1,,ERS1972755,2012-09-07,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,85.10183,122.24533,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172181,77265802,ERC000024,2018-06-11,2018-04-13,128754,PS80/360-1,PS80/360_CORE-BAT-1,,ERS1972756,2012-09-22,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,88.82767,58.8635,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172182,249678000,ERC000024,2018-06-11,2018-04-13,416130,PS80/224-1,PS80/224_CORE-BAT-1,,ERS1972757,2012-08-09,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172183,297730200,ERC000021,2018-06-11,2018-04-13,496217,PS80/225-1,,4012.0,ERS1972735,2012-08-09,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,84.04732,31.19263,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4012,
ERR2172184,43279800,ERC000021,2018-06-11,2018-04-13,72133,PS80/240-1,,3450.0,ERS1972736,2012-08-15,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,83.94733,76.872,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,3450,
ERR2172185,75334800,ERC000021,2018-06-11,2018-04-13,125558,PS80/260-1,,3588.0,ERS1972737,2012-08-21,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,82.87683,109.8625,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,3588,
ERR2172186,153174008,ERC000021,2018-06-11,2018-04-13,255159,PS80/225-1,,4019.0,ERS1972758,2012-08-09,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,84.04732,31.19263,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4019,
ERR2172187,513765502,ERC000021,2018-06-11,2018-04-13,856132,PS80/225-1,,4019.0,ERS1972759,2012-08-09,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,84.04732,31.19263,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4019,
ERR2172188,110295436,ERC000021,2018-06-11,2018-04-13,183740,PS80/225-1,,4019.0,ERS1972760,2012-08-09,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,84.04732,31.19263,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4019,
ERR2172189,143468440,ERC000024,2018-06-11,2018-04-13,239059,PS80/237-1,PS80/237_CORE-BAT-1,,ERS1972761,2012-08-14,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,83.9865,78.10333,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172190,136980600,ERC000024,2018-06-11,2018-04-13,228301,PS80/255-1,PS80/255_CORE-BAT-1,,ERS1972762,2012-08-20,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,82.67067,109.5895,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172191,136289400,ERC000024,2018-06-11,2018-04-13,227149,PS80/277-1,PS80/277_CORE-BAT-1,,ERS1972763,2012-08-25,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,82.8825,130.1295,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
